teamNum,matchNum,alliance,driveStation,startLocation,preload,mobility,autoPickups,autoCones,autoCubes,autoBalance,communityPickups,neutralPickups,singlePickups,doublePickups,teleopCones,teleopCubes,shuttle,teleopBalance,buddyClimb,driver,scoutName,comments,scoredT,scoredA,scoredCones,scoredCubes,totalPickups,scoredLowT,scoredMidT,scoredHightT,scoredLowA,scoredMidA,scoredHighA,scoredTCones,scoredTCubes,scoredACones,scoredACubes,scoredHighT,pointsT,pointsA,pointsTotal,ct
9289,11,b,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,24,FALSE,fail,FALSE,1,Ha,"failed auton, unable to move most of the match. ",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
4734,12,b,,3,cube,FALSE,NA,NA,NA,na,0,2,0,0,27,"17,26",FALSE,engage,FALSE,3,gabri,"pretty slow, put cubes successfully with intake, only pushed cones in.",3,2,2,3,5,0,1,0,0,0,0,1,2,1,1,2,13,12,25,44.067
2881,13,b,,3,cone,TRUE,NA,9,NA,na,0,0,0,4,"9,7,6,18",8,FALSE,engage,FALSE,4,brittian,"great bot, intake is a little off",5,2,5,2,7,4,1,0,1,0,0,4,1,1,1,0,11,3,14,26.2
5866,1,b,,2,NA,FALSE,NA,NA,NA,na,0,1,0,1,NA,NA,FALSE,na,FALSE,1,cobleigh,dropped all things they intaked.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
6180,2,b,,1,cone,TRUE,NA,NA,NA,na,0,0,0,1,NA,NA,FALSE,dock,FALSE,2,cobleigh,not partivularly fast. Not great at scoring,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,60
4610,3,b,,3,cube,TRUE,NA,NA,NA,na,0,3,0,2,NA,"8,5,2,11,14,26",FALSE,na,FALSE,3,cobleigh,works pretty efficiently. did not try to climb at all. hit into teamate robot once.,7,2,2,7,9,3,2,0,0,0,0,1,6,1,1,1,17,6,23,19.286
7091,4,b,,2,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,park,FALSE,1,cobleigh,no intake or shooter. had penalties for hitting robots in their community zone.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,57.5
9311,5,b,,1,cube,FALSE,NA,NA,NA,na,0,2,0,0,NA,20,FALSE,fail,FALSE,1,cobleigh,very very slow. tipped over at the end while attempting to climb.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,62.5
8769,6,b,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,brittian,no show,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
2789,9,b,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,22,FALSE,fail,FALSE,1,cobleigh,very poor intake. not sure if they even had one.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,57.5
8408,10,b,,2,NA,FALSE,NA,NA,NA,na,0,1,0,0,NA,"25,21,20,26",FALSE,park,FALSE,3,cobleigh,"not much of an intake, just slid cubes around. decently consistent low scrorer.",5,2,2,5,7,0,0,0,0,0,0,1,4,1,1,4,20,24,44,25
5503,11,b,,3,NA,FALSE,NA,NA,NA,na,0,0,0,0,24,25,FALSE,dock,FALSE,3,cobleigh,no intake. pretty speedy. pushed a cone and cube into bottom row.,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,2,10,12,22,60
8556,12,b,,1,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,2,cobleigh,tried to play defense. not great at defense,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
3035,13,b,,1,cone,FALSE,NA,12,NA,na,0,0,0,0,12,NA,FALSE,na,FALSE,3,cobleigh,placed a cone in auton then died immediately.,2,2,2,2,4,0,1,0,0,1,0,1,1,1,1,0,3,4,7,67.5
9289,2,b,,2,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,gabri,"didnt intake at all, no auton, very slow, just lollygagged",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
6377,6,b,,3,cube,TRUE,NA,27,NA,engage,0,0,0,0,27,NA,FALSE,na,FALSE,1,gabri,"tipped over at start, rendered incapable",2,2,2,2,4,0,0,0,0,0,1,1,1,1,1,1,5,6,11,67.5
3545,8,b,,3,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,TRUE,na,FALSE,2,novinski,"was in the loading zone for the whole match, slow",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
8769,10,b,,3,NA,TRUE,NA,NA,NA,na,0,1,0,0,19,NA,TRUE,na,FALSE,2,gabri,"didnt balance, pushed pieces into hybdrid, moved during auton for mobility pts",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
6800,11,b,,1,cone,FALSE,NA,NA,NA,na,0,1,4,0,"19,1","2,20,21,11",FALSE,engage,FALSE,4,gabri,"driver couldnt manuever around defense much, red played good defense, very fast balance, no mobility?",6,2,3,5,8,2,1,0,0,0,0,2,4,1,1,3,22,18,40,22.083
624,12,b,,2,cube,FALSE,NA,NA,5,engage,0,4,2,0,NA,"5,2,11,25,8,24",FALSE,engage,FALSE,4,brittian,"solid bot, weird arm. ",7,2,2,7,9,3,1,0,1,0,0,1,6,1,1,2,19,15,34,18.571
2714,13,b,,2,cube,FALSE,NA,NA,5,engage,0,0,0,4,"6,3,4,13",5,FALSE,engage,FALSE,4,gabri,consistent with cones,5,2,5,2,7,4,1,0,1,0,0,4,1,1,1,0,11,3,14,26
6672,14,b,,2,cone,FALSE,NA,6,NA,engage,0,4,1,0,"6,4,3","24,5,2,20,25",FALSE,engage,FALSE,5,gabri,"defense stole our pieces, pretty accurate placement.",8,2,4,6,10,5,0,0,1,0,0,3,5,1,1,3,25,21,46,16.675
1164,15,b,,2,NA,FALSE,NA,NA,NA,engage,0,1,0,0,19,NA,FALSE,dock,FALSE,2,gabri,defense,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
3676,14,b,,1,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,fail,FALSE,2,brittian,broke :(,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
4610,15,b,,1,cube,TRUE,NA,NA,NA,na,0,1,1,1,NA,"2,14,17",FALSE,dock,FALSE,3,rengarajan,"started slow, grabber intake is inconsistent and difficult to use, failed engage because they tried to let an alliance member climb on and they messed up",4,2,2,4,6,1,2,0,0,0,0,1,3,1,1,0,8,0,8,27.575
2789,16,b,,2,NA,TRUE,NA,NA,NA,fail,0,0,0,0,NA,NA,FALSE,na,FALSE,1,rengarajan,"struggled to ever intake, let alone move",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
3735,14,b,,3,NA,FALSE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,1,cobleigh,did very little. not very impactful,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
9289,15,b,,3,cube,FALSE,NA,NA,NA,na,0,0,0,0,NA,27,FALSE,na,FALSE,1,cobleigh,did very little,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
7540,16,b,,3,NA,TRUE,NA,NA,NA,na,0,0,2,0,NA,"25,8",FALSE,engage,FALSE,2,cobleigh,"tried to climb with other root, other robot flipped.",3,2,2,3,5,1,0,0,0,0,0,1,2,1,1,1,7,6,13,41.667
3029,8,r,,1,cube,FALSE,NA,NA,NA,na,0,1,0,0,NA,19,FALSE,fail,FALSE,1,ha,"failed to climb, but did not slip off. did not play defense. push bot, but with stuff on top",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,57.85
